cost_centre_code,period,amount
IT-03,2025-11-01,253727.22
IT-03,2025-12-01,276874.16
LEGAL-01,2025-01-01,92404.39
LEGAL-01,2025-02-01,89925.28
LEGAL-01,2025-03-01,109241.70
LEGAL-01,2025-04-01,85825.99
LEGAL-01,2025-05-01,88681.93
LEGAL-01,2025-06-01,111427.26
LEGAL-01,2025-07-01,86970.38
LEGAL-01,2025-08-01,91724.69
LEGAL-01,2025-09-01,108794.61
LEGAL-01,2025-10-01,95499.78
LEGAL-01,2025-11-01,85216.98
LEGAL-01,2025-12-01,111088.30
LEGAL-02,2025-01-01,75653.10
LEGAL-02,2025-02-01,70939.86
LEGAL-02,2025-03-01,89532.37
LEGAL-02,2025-04-01,73209.38
LEGAL-02,2025-05-01,72794.93
LEGAL-02,2025-06-01,89843.74
LEGAL-02,2025-07-01,71919.49
LEGAL-02,2025-08-01,77175.75
LEGAL-02,2025-09-01,86486.23
LEGAL-02,2025-10-01,76221.77
LEGAL-02,2025-11-01,78132.15
LEGAL-02,2025-12-01,86225.70
LEGAL-03,2025-01-01,58179.49
LEGAL-03,2025-02-01,60230.49
LEGAL-03,2025-03-01,72494.23
LEGAL-03,2025-04-01,63904.87
LEGAL-03,2025-05-01,63668.06
LEGAL-03,2025-06-01,75084.16
LEGAL-03,2025-07-01,57374.14
LEGAL-03,2025-08-01,57120.86
LEGAL-03,2025-09-01,71671.23
LEGAL-03,2025-10-01,63655.13
LEGAL-03,2025-11-01,61857.26
LEGAL-03,2025-12-01,70305.13
