expense_id,employee_id,submitted_at,audit_completed_at,employee_gender,region,department,employee_level,expense_category,merchant_risk_tier,country_risk_tier,payment_method,amount_usd,policy_limit_usd,amount_to_policy_ratio,days_since_expense,prior_30d_claim_count,prior_30d_total_usd,employee_tenure_months,duplicate_7d_count,receipt_attached,weekend_submission,outside_business_hours,cross_border,is_abnormal
EXP-0000011,EMP-00563,2024-01-01T11:36:00Z,2024-01-28T11:36:00Z,Female,EMEA,Engineering,IC1-2,Lodging,low,low,personal_card,123.9,315.0,0.3933,8,2,163.04,175,0,True,False,False,False,0
EXP-0000012,EMP-00098,2024-01-01T16:17:00Z,2024-01-16T16:17:00Z,Female,EMEA,Sales,IC1-2,Taxi,low,low,corporate_card,111.75,108.0,1.0347,3,4,701.48,95,0,True,False,True,False,0
EXP-0000013,EMP-00701,2024-01-01T17:36:00Z,2024-01-06T17:36:00Z,Female,EMEA,Sales,IC3-4,Taxi,low,high,personal_card,55.75,120.0,0.4646,0,1,232.89,111,0,True,False,False,False,0
EXP-0000014,EMP-00343,2024-01-01T17:53:00Z,2024-01-10T17:53:00Z,Male,North America,Support,IC1-2,Mileage,low,low,corporate_card,96.52,225.0,0.429,6,7,254.64,93,0,True,False,False,False,0
EXP-0000015,EMP-00803,2024-01-01T19:00:00Z,2024-01-10T19:00:00Z,Female,North America,Engineering,Manager,Meals,low,medium,cash,42.74,115.0,0.3717,5,3,627.99,173,0,True,False,True,True,0
EXP-0000016,EMP-00813,2024-01-01T20:04:00Z,2024-01-31T20:04:00Z,Female,APAC,Support,IC1-2,Lodging,low,low,corporate_card,616.91,315.0,1.9584,1,3,505.86,135,0,True,False,False,False,0
EXP-0000017,EMP-00105,2024-01-01T21:25:00Z,2024-01-29T21:25:00Z,Female,APAC,Finance,IC3-4,Taxi,medium,low,corporate_card,162.96,120.0,1.358,0,4,2263.28,123,0,True,False,True,False,0
EXP-0000018,EMP-00722,2024-01-01T21:27:00Z,2024-01-31T21:27:00Z,Female,APAC,Support,IC1-2,Airfare,low,low,corporate_card,975.5,1260.0,0.7742,7,3,388.84,26,0,True,False,False,False,0
EXP-0000019,EMP-00196,2024-01-01T22:22:00Z,2024-01-16T22:22:00Z,Female,EMEA,Engineering,IC3-4,Taxi,low,medium,corporate_card,96.23,120.0,0.802,5,4,306.0,78,0,True,False,True,False,0
EXP-0000020,EMP-00962,2024-01-01T23:25:00Z,2024-01-21T23:25:00Z,Male,LATAM,Operations,IC3-4,Meals,low,low,personal_card,129.16,100.0,1.2916,8,7,614.4,12,0,True,False,False,False,0
EXP-0000021,EMP-00331,2024-01-02T05:07:00Z,2024-01-17T05:07:00Z,Male,APAC,Finance,IC1-2,Meals,low,high,corporate_card,32.4,90.0,0.36,30,5,1310.93,176,0,True,False,True,False,0
EXP-0000022,EMP-00584,2024-01-02T12:00:00Z,2024-01-15T12:00:00Z,Female,APAC,Engineering,IC3-4,Meals,low,low,corporate_card,60.52,100.0,0.6052,3,4,64.8,11,1,True,False,True,False,0
EXP-0000023,EMP-00873,2024-01-02T14:23:00Z,2024-02-01T14:23:00Z,Male,North America,Support,Manager,Meals,low,low,personal_card,88.72,115.0,0.7715,2,6,819.87,150,0,True,False,True,False,0
EXP-0000024,EMP-00066,2024-01-02T14:31:00Z,2024-01-11T14:31:00Z,Male,North America,Sales,IC3-4,Meals,low,low,personal_card,32.33,100.0,0.3233,5,4,939.12,82,0,True,False,True,False,0
EXP-0000025,EMP-00788,2024-01-02T15:09:00Z,2024-01-09T15:09:00Z,Male,APAC,Engineering,IC3-4,Lodging,low,low,personal_card,189.93,350.0,0.5427,7,7,559.7,51,0,True,False,False,False,0
EXP-0000026,EMP-00253,2024-01-02T16:19:00Z,2024-01-28T16:19:00Z,Female,North America,Engineering,IC3-4,Taxi,medium,low,corporate_card,43.53,120.0,0.3628,4,4,1421.15,38,0,True,False,True,False,0
EXP-0000027,EMP-00231,2024-01-02T18:14:00Z,2024-01-12T18:14:00Z,Female,North America,Operations,IC3-4,Lodging,medium,high,corporate_card,482.4,350.0,1.3783,2,6,582.39,134,0,True,False,True,False,0
EXP-0000028,EMP-00414,2024-01-02T19:27:00Z,2024-01-13T19:27:00Z,Male,APAC,Sales,IC3-4,Lodging,medium,low,corporate_card,128.17,350.0,0.3662,10,4,405.81,167,0,True,False,True,False,0
EXP-0000029,EMP-00335,2024-01-02T20:24:00Z,2024-01-13T20:24:00Z,Female,APAC,Sales,Manager,Taxi,low,low,corporate_card,85.44,138.0,0.6191,0,3,1174.18,16,0,True,False,True,False,0
EXP-0000030,EMP-00900,2024-01-02T20:42:00Z,2024-01-14T20:42:00Z,Male,EMEA,Operations,Manager,Meals,low,medium,corporate_card,92.45,115.0,0.8039,4,5,1979.38,33,0,True,False,True,False,0
EXP-0000031,EMP-00815,2024-01-02T21:07:00Z,2024-01-20T21:07:00Z,Male,North America,Finance,IC1-2,Meals,medium,low,corporate_card,61.86,90.0,0.6874,6,4,534.2,149,0,True,False,False,False,0
EXP-0000032,EMP-00665,2024-01-02T21:40:00Z,2024-01-10T21:40:00Z,Male,APAC,Support,IC3-4,Airfare,low,low,corporate_card,651.8,1400.0,0.4656,4,7,988.31,142,0,True,False,True,False,0
EXP-0000033,EMP-00083,2024-01-02T22:09:00Z,2024-01-31T22:09:00Z,Female,North America,Sales,IC3-4,Taxi,medium,low,corporate_card,33.18,120.0,0.2765,11,3,750.34,71,0,True,False,False,False,0
EXP-0000034,EMP-00243,2024-01-03T00:06:00Z,2024-01-31T00:06:00Z,Female,EMEA,Engineering,IC3-4,Office,low,low,personal_card,213.74,500.0,0.4275,5,6,771.8,167,0,True,False,False,False,0
EXP-0000035,EMP-00341,2024-01-03T01:24:00Z,2024-01-18T01:24:00Z,Male,EMEA,Operations,Manager,Office,low,low,personal_card,499.96,575.0,0.8695,2,4,1862.73,116,0,True,False,True,False,0
EXP-0000036,EMP-00585,2024-01-03T05:07:00Z,2024-01-16T05:07:00Z,Female,EMEA,Operations,IC1-2,Office,medium,low,corporate_card,579.48,450.0,1.2877,5,3,1041.73,120,0,True,False,True,False,0
EXP-0000037,EMP-00276,2024-01-03T06:54:00Z,2024-01-31T06:54:00Z,Female,APAC,Finance,IC3-4,Mileage,medium,low,corporate_card,243.26,250.0,0.973,7,3,338.94,124,0,True,False,False,False,0
EXP-0000038,EMP-00344,2024-01-03T07:29:00Z,2024-01-23T07:29:00Z,Female,North America,Finance,IC1-2,Taxi,low,low,corporate_card,47.86,108.0,0.4431,14,8,560.37,132,0,True,False,False,False,0
EXP-0000039,EMP-00356,2024-01-03T08:21:00Z,2024-01-20T08:21:00Z,Female,North America,Finance,Manager,Meals,medium,low,personal_card,36.55,115.0,0.3178,7,2,934.33,37,0,False,False,False,True,0
EXP-0000040,EMP-00396,2024-01-03T08:26:00Z,2024-01-26T08:26:00Z,Male,LATAM,Operations,Manager,Airfare,low,low,corporate_card,693.82,1610.0,0.4309,0,4,1125.62,57,0,True,False,False,False,0
EXP-0000041,EMP-00225,2024-01-03T08:45:00Z,2024-01-28T08:45:00Z,Nonbinary,APAC,Finance,Manager,Meals,low,low,personal_card,214.11,115.0,1.8619,6,5,1352.29,93,0,True,False,False,False,0
EXP-0000042,EMP-00518,2024-01-03T08:52:00Z,2024-01-30T08:52:00Z,Male,EMEA,Sales,Manager,Airfare,low,low,personal_card,1450.83,1610.0,0.9011,8,2,755.19,130,0,True,False,False,False,0
EXP-0000043,EMP-00805,2024-01-03T10:13:00Z,2024-01-23T10:13:00Z,Male,LATAM,Engineering,IC3-4,Taxi,low,low,corporate_card,69.21,120.0,0.5767,7,6,559.65,38,0,False,False,False,False,0
EXP-0000044,EMP-00472,2024-01-03T10:58:00Z,2024-01-11T10:58:00Z,Male,EMEA,Engineering,Manager,Meals,low,low,cash,32.37,115.0,0.2815,6,4,1420.06,23,0,True,False,False,False,0
EXP-0000045,EMP-00665,2024-01-03T13:12:00Z,2024-01-07T13:12:00Z,Male,APAC,Support,IC3-4,Taxi,low,low,corporate_card,52.33,120.0,0.4361,1,5,1233.79,142,0,True,False,True,False,0
EXP-0000046,EMP-00972,2024-01-03T14:06:00Z,2024-01-07T14:06:00Z,Female,EMEA,Operations,Manager,Office,low,low,corporate_card,249.54,575.0,0.434,4,3,585.04,26,0,True,False,True,False,0
EXP-0000047,EMP-00572,2024-01-03T14:41:00Z,2024-01-26T14:41:00Z,Female,LATAM,Sales,IC3-4,Meals,low,medium,corporate_card,89.19,100.0,0.8919,12,5,545.92,26,0,True,False,False,False,0
EXP-0000048,EMP-00187,2024-01-03T15:32:00Z,2024-01-26T15:32:00Z,Male,North America,Finance,IC3-4,Meals,high,medium,personal_card,42.48,100.0,0.4248,6,3,1083.56,173,0,True,False,True,False,0
EXP-0000049,EMP-00921,2024-01-03T15:45:00Z,2024-01-19T15:45:00Z,Female,APAC,Sales,IC1-2,Taxi,low,low,personal_card,82.62,108.0,0.765,8,4,272.53,117,0,True,False,True,False,0
EXP-0000050,EMP-00847,2024-01-03T16:07:00Z,2024-01-17T16:07:00Z,Female,APAC,Sales,IC1-2,Airfare,medium,low,corporate_card,803.09,1260.0,0.6374,2,2,575.22,80,0,True,False,False,False,0
EXP-0000051,EMP-00071,2024-01-03T17:07:00Z,2024-01-10T17:07:00Z,Female,North America,Finance,Manager,Meals,low,low,corporate_card,69.96,115.0,0.6084,7,3,537.66,71,0,True,False,False,False,0
EXP-0000052,EMP-00989,2024-01-03T18:18:00Z,2024-01-09T18:18:00Z,Male,APAC,Sales,IC1-2,Office,medium,low,corporate_card,159.15,450.0,0.3537,14,2,307.42,37,1,True,False,True,False,0
EXP-0000053,EMP-00445,2024-01-03T18:45:00Z,2024-01-14T18:45:00Z,Female,EMEA,Operations,IC1-2,Lodging,medium,low,cash,369.08,315.0,1.1717,9,7,429.56,174,0,True,False,False,False,0
EXP-0000054,EMP-00489,2024-01-03T19:03:00Z,2024-01-19T19:03:00Z,Male,APAC,Engineering,IC3-4,Lodging,low,low,corporate_card,417.72,350.0,1.1935,5,6,675.42,147,0,True,False,False,False,0
EXP-0000055,EMP-00663,2024-01-03T19:18:00Z,2024-01-15T19:18:00Z,Male,APAC,Engineering,IC3-4,Office,low,low,corporate_card,275.83,500.0,0.5517,2,2,1343.29,171,0,False,False,True,False,0
EXP-0000056,EMP-00614,2024-01-03T20:25:00Z,2024-01-06T20:25:00Z,Female,APAC,Finance,Manager,Taxi,medium,medium,corporate_card,116.5,138.0,0.8442,7,5,1903.51,1,0,True,False,True,True,0
EXP-0000057,EMP-00440,2024-01-03T20:34:00Z,2024-01-20T20:34:00Z,Female,North America,Engineering,IC3-4,Office,low,low,personal_card,378.44,500.0,0.7569,5,5,200.33,26,0,True,False,True,False,0
EXP-0000058,EMP-00718,2024-01-03T22:45:00Z,2024-01-14T22:45:00Z,Male,EMEA,Engineering,IC1-2,Taxi,low,low,personal_card,94.95,108.0,0.8791,11,5,1588.6,85,0,True,False,True,False,0
EXP-0000059,EMP-00407,2024-01-03T23:01:00Z,2024-01-16T23:01:00Z,Male,EMEA,Sales,IC3-4,Lodging,low,low,corporate_card,345.42,350.0,0.9869,3,2,120.63,178,0,True,False,False,True,0
EXP-0000060,EMP-00139,2024-01-04T01:19:00Z,2024-01-20T01:19:00Z,Female,APAC,Sales,Manager,Meals,low,low,personal_card,24.0,115.0,0.2087,24,6,236.21,8,0,True,False,True,False,0
EXP-0000061,EMP-00625,2024-01-04T02:11:00Z,2024-01-12T02:11:00Z,Male,North America,Finance,Manager,Office,low,low,personal_card,262.5,575.0,0.4565,0,3,699.89,127,0,True,False,True,False,0
EXP-0000062,EMP-00582,2024-01-04T03:04:00Z,2024-01-22T03:04:00Z,Female,APAC,Sales,Manager,Meals,low,low,personal_card,29.54,115.0,0.2569,1,5,1930.81,107,0,False,False,True,False,0
EXP-0000063,EMP-00922,2024-01-04T03:20:00Z,2024-01-31T03:20:00Z,Male,North America,Sales,IC1-2,Lodging,low,low,personal_card,188.47,315.0,0.5983,6,2,296.37,6,0,True,False,False,False,0
EXP-0000064,EMP-00824,2024-01-04T05:03:00Z,2024-01-25T05:03:00Z,Female,North America,Sales,Manager,Taxi,low,high,personal_card,340.35,138.0,2.4663,5,3,174.26,63,0,True,False,True,False,0
EXP-0000065,EMP-00903,2024-01-04T05:53:00Z,2024-01-28T05:53:00Z,Male,APAC,Sales,IC1-2,Office,medium,low,corporate_card,218.14,450.0,0.4847,5,3,1654.47,53,0,False,False,False,True,0
EXP-0000066,EMP-00776,2024-01-04T09:25:00Z,2024-01-12T09:25:00Z,Female,North America,Operations,IC3-4,Taxi,low,low,corporate_card,66.24,120.0,0.552,2,5,836.38,13,0,True,False,False,False,0
EXP-0000067,EMP-00466,2024-01-04T09:29:00Z,2024-01-30T09:29:00Z,Male,North America,Operations,Manager,Taxi,low,low,personal_card,95.76,138.0,0.6939,2,6,450.55,12,0,False,False,True,False,0
EXP-0000068,EMP-00691,2024-01-04T09:44:00Z,2024-01-12T09:44:00Z,Male,EMEA,Finance,Manager,Mileage,low,medium,corporate_card,139.36,287.5,0.4847,1,4,447.59,0,0,True,False,False,False,0
EXP-0000069,EMP-00828,2024-01-04T11:37:00Z,2024-02-02T11:37:00Z,Nonbinary,EMEA,Sales,IC1-2,Taxi,low,low,corporate_card,75.5,108.0,0.6991,3,9,354.02,154,0,True,False,False,False,0
EXP-0000070,EMP-00117,2024-01-04T12:07:00Z,2024-01-23T12:07:00Z,Female,APAC,Operations,IC3-4,Lodging,low,low,corporate_card,147.58,350.0,0.4217,6,8,316.94,175,0,True,False,False,False,0
EXP-0000071,EMP-00477,2024-01-04T16:22:00Z,2024-01-14T16:22:00Z,Male,EMEA,Finance,IC1-2,Taxi,low,low,personal_card,99.05,108.0,0.9171,3,4,1956.37,49,1,True,False,False,False,1
EXP-0000072,EMP-00559,2024-01-04T22:48:00Z,2024-01-14T22:48:00Z,Female,APAC,Finance,IC3-4,Airfare,low,low,personal_card,381.91,1400.0,0.2728,3,5,1905.56,112,0,False,False,False,False,0
EXP-0000073,EMP-00783,2024-01-05T02:55:00Z,2024-01-15T02:55:00Z,Male,North America,Support,Manager,Airfare,low,medium,corporate_card,678.16,1610.0,0.4212,5,2,1378.04,55,0,True,False,False,False,0
EXP-0000074,EMP-00737,2024-01-05T03:13:00Z,2024-01-17T03:13:00Z,Female,EMEA,Sales,IC3-4,Airfare,low,medium,personal_card,1596.32,1400.0,1.1402,2,5,742.73,165,1,True,False,True,False,1
EXP-0000075,EMP-00906,2024-01-05T04:23:00Z,2024-01-26T04:23:00Z,Female,EMEA,Support,IC3-4,Taxi,low,medium,corporate_card,123.49,120.0,1.0291,0,3,375.96,89,0,False,False,False,False,0
EXP-0000076,EMP-00000,2024-01-05T04:27:00Z,2024-01-29T04:27:00Z,Male,North America,Engineering,Manager,Lodging,low,high,corporate_card,93.22,402.5,0.2316,8,3,185.21,119,0,True,False,False,False,0
EXP-0000077,EMP-00239,2024-01-05T04:54:00Z,2024-01-22T04:54:00Z,Female,APAC,Engineering,Director+,Office,low,medium,corporate_card,201.72,700.0,0.2882,6,6,277.14,67,0,True,False,False,False,0
EXP-0000078,EMP-00876,2024-01-05T06:33:00Z,2024-02-03T06:33:00Z,Male,North America,Engineering,IC3-4,Mileage,low,low,corporate_card,149.81,250.0,0.5992,1,3,458.0,18,0,True,False,False,False,0
EXP-0000079,EMP-00222,2024-01-05T09:24:00Z,2024-01-13T09:24:00Z,Female,North America,Finance,Manager,Taxi,low,low,personal_card,59.59,138.0,0.4318,21,5,948.33,58,1,True,False,False,False,0
EXP-0000080,EMP-00354,2024-01-05T12:09:00Z,2024-01-21T12:09:00Z,Male,LATAM,Engineering,IC1-2,Office,high,low,corporate_card,99.67,450.0,0.2215,5,4,1505.69,5,0,True,False,True,False,1
EXP-0000081,EMP-00263,2024-01-05T13:50:00Z,2024-01-27T13:50:00Z,Female,North America,Sales,Manager,Meals,low,low,corporate_card,220.09,115.0,1.9138,5,3,474.61,39,0,True,False,True,False,0
EXP-0000082,EMP-00680,2024-01-05T16:27:00Z,2024-01-08T16:27:00Z,Male,EMEA,Sales,IC1-2,Meals,low,low,personal_card,6.14,90.0,0.0682,4,5,1882.15,134,0,True,False,False,False,0
EXP-0000083,EMP-00443,2024-01-05T19:26:00Z,2024-01-31T19:26:00Z,Male,EMEA,Support,Director+,Meals,low,low,corporate_card,82.44,140.0,0.5888,4,5,1378.27,83,0,False,False,False,False,0
EXP-0000084,EMP-00588,2024-01-05T21:26:00Z,2024-01-08T21:26:00Z,Male,LATAM,Operations,IC3-4,Meals,low,low,corporate_card,158.67,100.0,1.5867,4,0,433.77,135,0,True,False,True,False,0
EXP-0000085,EMP-00708,2024-01-05T22:17:00Z,2024-01-16T22:17:00Z,Female,APAC,Operations,IC1-2,Taxi,low,high,corporate_card,31.74,108.0,0.2939,6,6,210.97,124,0,True,False,False,False,0
EXP-0000086,EMP-00177,2024-01-06T00:10:00Z,2024-01-20T00:10:00Z,Female,North America,Sales,IC3-4,Taxi,medium,low,personal_card,180.62,120.0,1.5051,3,3,540.01,178,0,True,True,True,False,0
EXP-0000087,EMP-00012,2024-01-06T04:28:00Z,2024-01-23T04:28:00Z,Male,EMEA,Support,IC1-2,Meals,low,high,personal_card,39.6,90.0,0.44,10,3,588.92,157,0,True,True,True,False,0
EXP-0000088,EMP-00630,2024-01-06T06:38:00Z,2024-01-24T06:38:00Z,Male,LATAM,Support,Director+,Meals,low,low,corporate_card,36.24,140.0,0.2588,6,2,94.73,177,0,True,True,False,False,0
EXP-0000089,EMP-00026,2024-01-06T08:41:00Z,2024-02-03T08:41:00Z,Female,North America,Operations,IC1-2,Taxi,medium,low,personal_card,41.3,108.0,0.3824,1,1,506.42,61,0,True,True,False,False,0
EXP-0000090,EMP-00943,2024-01-06T10:47:00Z,2024-01-12T10:47:00Z,Male,LATAM,Sales,IC1-2,Meals,low,medium,personal_card,70.08,90.0,0.7786,1,5,784.09,46,0,True,True,False,False,0
EXP-0000091,EMP-00023,2024-01-06T12:10:00Z,2024-01-19T12:10:00Z,Female,EMEA,Engineering,Director+,Meals,low,high,corporate_card,44.21,140.0,0.3158,1,7,390.3,137,0,False,True,False,False,0
EXP-0000092,EMP-00688,2024-01-06T16:57:00Z,2024-01-13T16:57:00Z,Male,EMEA,Finance,IC1-2,Meals,low,low,personal_card,35.88,90.0,0.3987,6,2,270.14,49,0,True,True,True,False,0
EXP-0000093,EMP-00548,2024-01-06T20:12:00Z,2024-01-25T20:12:00Z,Male,LATAM,Finance,IC3-4,Lodging,low,low,personal_card,153.16,350.0,0.4376,8,6,716.22,18,0,False,True,True,False,0
EXP-0000094,EMP-00895,2024-01-06T20:37:00Z,2024-01-31T20:37:00Z,Female,EMEA,Support,IC1-2,Office,low,low,corporate_card,151.77,450.0,0.3373,3,3,641.27,138,0,True,True,True,False,0
EXP-0000095,EMP-00374,2024-01-06T20:55:00Z,2024-01-18T20:55:00Z,Female,North America,Sales,IC1-2,Taxi,low,low,personal_card,221.06,108.0,2.0468,4,7,580.68,28,0,True,True,False,False,0
EXP-0000096,EMP-00479,2024-01-06T22:31:00Z,2024-01-12T22:31:00Z,Male,APAC,Finance,IC1-2,Meals,low,low,corporate_card,5.51,90.0,0.0612,4,2,253.02,93,0,True,True,False,True,0
EXP-0000097,EMP-00092,2024-01-07T00:45:00Z,2024-01-24T00:45:00Z,Female,EMEA,Sales,IC3-4,Meals,low,medium,corporate_card,40.28,100.0,0.4028,13,3,983.46,169,0,True,True,False,False,0
EXP-0000098,EMP-00980,2024-01-07T09:24:00Z,2024-01-31T09:24:00Z,Female,North America,Support,IC1-2,Airfare,low,medium,corporate_card,1755.75,1260.0,1.3934,6,4,597.7,40,0,True,True,True,True,1
EXP-0000099,EMP-00914,2024-01-07T10:08:00Z,2024-01-13T10:08:00Z,Female,North America,Sales,IC1-2,Taxi,low,low,personal_card,149.48,108.0,1.3841,2,6,415.07,53,0,True,True,True,False,0
EXP-0000100,EMP-00628,2024-01-07T15:44:00Z,2024-01-29T15:44:00Z,Female,LATAM,Finance,Manager,Meals,low,low,personal_card,67.85,115.0,0.59,3,6,1538.22,117,0,False,True,False,False,0
EXP-0000101,EMP-00782,2024-01-07T18:19:00Z,2024-02-05T18:19:00Z,Male,North America,Finance,IC1-2,Lodging,low,medium,corporate_card,92.85,315.0,0.2947,2,8,441.69,130,0,True,True,True,False,0
EXP-0000102,EMP-00175,2024-01-07T18:39:00Z,2024-01-30T18:39:00Z,Male,North America,Finance,IC3-4,Mileage,low,low,corporate_card,71.28,250.0,0.2851,4,3,1207.73,58,0,True,True,False,False,0
EXP-0000103,EMP-00887,2024-01-07T19:13:00Z,2024-01-30T19:13:00Z,Female,APAC,Engineering,Manager,Office,low,medium,personal_card,430.51,575.0,0.7487,4,6,623.95,7,0,True,True,True,True,0
EXP-0000104,EMP-00823,2024-01-07T20:11:00Z,2024-01-29T20:11:00Z,Male,APAC,Engineering,IC3-4,Taxi,high,low,corporate_card,54.75,120.0,0.4563,8,3,1242.07,148,0,True,True,False,False,0
EXP-0000105,EMP-00814,2024-01-07T20:44:00Z,2024-01-24T20:44:00Z,Female,EMEA,Finance,IC3-4,Lodging,low,medium,personal_card,106.4,350.0,0.304,8,3,633.95,5,0,True,True,False,False,0
EXP-0000106,EMP-00250,2024-01-07T21:19:00Z,2024-02-05T21:19:00Z,Female,APAC,Operations,IC3-4,Airfare,high,low,corporate_card,1072.58,1400.0,0.7661,4,8,572.42,66,0,True,True,False,True,0
EXP-0000107,EMP-00241,2024-01-07T21:38:00Z,2024-01-23T21:38:00Z,Female,North America,Engineering,IC1-2,Mileage,low,low,corporate_card,367.1,225.0,1.6316,3,3,941.45,46,0,True,True,True,False,1
EXP-0000108,EMP-00882,2024-01-07T23:41:00Z,2024-02-02T23:41:00Z,Female,EMEA,Engineering,IC3-4,Taxi,low,medium,corporate_card,69.44,120.0,0.5787,21,6,209.85,7,0,True,True,False,False,0
EXP-0000109,EMP-00373,2024-01-08T00:53:00Z,2024-01-24T00:53:00Z,Male,APAC,Engineering,Manager,Office,low,low,corporate_card,210.37,575.0,0.3659,7,2,45.24,156,0,True,False,True,False,0
EXP-0000110,EMP-00661,2024-01-08T05:04:00Z,2024-01-13T05:04:00Z,Male,APAC,Engineering,IC3-4,Mileage,low,low,personal_card,53.83,250.0,0.2153,9,6,829.9,87,0,True,False,False,False,0
EXP-0000111,EMP-00140,2024-01-08T05:09:00Z,2024-01-26T05:09:00Z,Male,EMEA,Finance,IC1-2,Taxi,low,low,cash,27.09,108.0,0.2508,3,3,353.67,31,0,True,False,True,False,0
EXP-0000112,EMP-00382,2024-01-08T05:33:00Z,2024-01-15T05:33:00Z,Male,APAC,Sales,IC3-4,Meals,low,low,corporate_card,39.49,100.0,0.3949,13,6,458.37,21,0,True,False,False,False,0
EXP-0000113,EMP-00475,2024-01-08T07:41:00Z,2024-01-15T07:41:00Z,Female,North America,Sales,IC1-2,Taxi,low,medium,corporate_card,164.74,108.0,1.5254,14,4,342.34,168,0,True,False,False,True,0
EXP-0000114,EMP-00166,2024-01-08T07:46:00Z,2024-01-16T07:46:00Z,Female,APAC,Sales,IC3-4,Meals,low,low,personal_card,22.26,100.0,0.2226,3,3,348.67,38,0,False,False,True,True,0
EXP-0000115,EMP-00132,2024-01-08T10:08:00Z,2024-02-07T10:08:00Z,Male,APAC,Operations,IC1-2,Meals,low,low,corporate_card,26.28,90.0,0.292,4,2,1141.83,28,0,True,False,False,False,0
EXP-0000116,EMP-00077,2024-01-08T10:51:00Z,2024-01-20T10:51:00Z,Male,LATAM,Engineering,IC1-2,Taxi,high,medium,corporate_card,140.73,108.0,1.3031,0,1,629.82,15,0,True,False,True,False,0
EXP-0000117,EMP-00461,2024-01-08T11:20:00Z,2024-02-06T11:20:00Z,Female,EMEA,Sales,Manager,Mileage,low,low,personal_card,216.13,287.5,0.7518,13,1,1315.53,14,0,True,False,True,False,0
EXP-0000118,EMP-00783,2024-01-08T12:10:00Z,2024-01-21T12:10:00Z,Male,North America,Support,Manager,Meals,medium,low,corporate_card,49.41,115.0,0.4297,11,4,1072.16,55,0,True,False,False,False,0
EXP-0000119,EMP-00026,2024-01-08T13:35:00Z,2024-01-24T13:35:00Z,Female,North America,Operations,IC1-2,Airfare,low,low,corporate_card,820.54,1260.0,0.6512,9,7,381.21,61,0,True,False,False,False,0
EXP-0000120,EMP-00086,2024-01-08T14:04:00Z,2024-01-17T14:04:00Z,Male,North America,Sales,Manager,Lodging,medium,high,corporate_card,361.3,402.5,0.8977,3,3,131.59,142,0,True,False,True,False,0
EXP-0000121,EMP-00707,2024-01-08T17:50:00Z,2024-01-23T17:50:00Z,Female,North America,Engineering,IC3-4,Office,medium,low,corporate_card,335.74,500.0,0.6715,5,3,521.36,64,0,True,False,True,False,0
